PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,20341224012009072312461607010415,6,X24,Boiler plant should be regularly tested and adjusted by experts for operating efficiency.,MEDIUM
SHORT,20341224012009072312461607010415,7,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations.),LOW
SHORT,20341224012009072312461607010415,8,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
SHORT,20341224012009072312461607010415,9,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
LONG,9603840062015090716001886930470,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,9603840062015090716001886930470,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,9603840062015090716001886930470,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,9603840062015090716001886930470,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,9603840062015090716001886930470,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,9603840062015090716001886930470,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,9603840062015090716001886930470,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,9603840062015090716001886930470,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,9603840062015090716001886930470,1,None,"Original single glazing, consider use of removable secondary double glazing to reduce winter losses and remove for summer to improve ventilation",HIGH
OTHER,9603840062015090716001886930470,10,None,Long wait for hws means cold water filling storage.  Improve circulation and insulation,LOW
OTHER,9603840062015090716001886930470,2,None,Temperature sensor for each floor is in the corridor.  An average of three sensors will provide less sensitive control,HIGH
OTHER,9603840062015090716001886930470,3,None,The piping in the boiler house suggests inadequate zones are provided.  Consider upgrading the controls to multi-zone control,HIGH
OTHER,9603840062015090716001886930470,4,None,Bypass type fume cupboards being used as storage.  Consider variable flow types and ventilated storage cupboards,MEDIUM
OTHER,9603840062015090716001886930470,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,9603840062015090716001886930470,6,None,Radiators under desks and grilles with poor output.  Improve air flow over emitter,LOW
OTHER,9603840062015090716001886930470,7,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,9603840062015090716001886930470,8,None,AHU heater battery hot on a hot day.  Check controls,MEDIUM
OTHER,9603840062015090716001886930470,9,None,T8 lighting may be improved by use of T5 and leds,MEDIUM
SHORT,9603840062015090716001886930470,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,9603840062015090716001886930470,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,9603840062015090716001886930470,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,9603840062015090716001886930470,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,9603840062015090716001886930470,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
SHORT,9603840062015090716001886930470,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,9603840062015090716001886930470,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
SHORT,9603840062015090716001886930470,8,CON15,Consider installing weather compensator controls on heating and cooling systems.,HIGH
LONG,7405970022015091108361020930420,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,7405970022015091108361020930420,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,7405970022015091108361020930420,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,7405970022015091108361020930420,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,7405970022015091108361020930420,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,7405970022015091108361020930420,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,7405970022015091108361020930420,1,None,Consider replacing night storag heaters with ground source heat pump heating,HIGH
OTHER,7405970022015091108361020930420,2,None,"Consider replacing low voltage spot lamps, T8 and T12 lamps with T5 and/or led",HIGH
OTHER,7405970022015091108361020930420,3,None,Consider improving the controls on the night storage heating if retained,MEDIUM
OTHER,7405970022015091108361020930420,4,None,Use of VRF mulit-splits with simultaneous heating and cooling may efficiently preculde use of the night storage heating,MEDIUM
OTHER,7405970022015091108361020930420,5,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,HIGH
OTHER,7405970022015091108361020930420,6,None,Apply management policy to use of pcs so they are 'off' when not in use,LOW
SHORT,7405970022015091108361020930420,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,7405970022015091108361020930420,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,7405970022015091108361020930420,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,7405970022015091108361020930420,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,7405970022015091108361020930420,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,7405970022015091108361020930420,6,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,LOW
SHORT,7405970022015091108361020930420,7,BF1,Consider introducing or improving loft insulation.,LOW
LONG,8832070022016031415452748020440,1,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,LOW
LONG,8832070022016031415452748020440,2,AE3,Consider installing building mounted solar water heating.,MEDIUM
LONG,8832070022016031415452748020440,3,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",MEDIUM
LONG,8832070022016031415452748020440,4,BF3,Consider replacing or improving glazing.,HIGH
LONG,8832070022016031415452748020440,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,8832070022016031415452748020440,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,8832070022016031415452748020440,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,8832070022016031415452748020440,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,8832070022016031415452748020440,4,BF9,Consider introducing/improving cavity wall insulation.,MEDIUM
MEDIUM,8832070022016031415452748020440,5,BF10,Consider introducing/improving wall insulation (internal lining) to solid single skin structures.,HIGH
SHORT,8832070022016031415452748020440,1,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",LOW
SHORT,8832070022016031415452748020440,2,X6,"Ensure natural ventilation flow is operating as designed i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",LOW
SHORT,8832070022016031415452748020440,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,8832070022016031415452748020440,4,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
SHORT,8832070022016031415452748020440,5,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
SHORT,8832070022016031415452748020440,6,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
SHORT,8832070022016031415452748020440,7,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",HIGH
SHORT,8832070022016031415452748020440,8,BF1,Consider introducing or improving loft insulation.,HIGH
LONG,9866420022015091111291012930460,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,9866420022015091111291012930460,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,9866420022015091111291012930460,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,9866420022015091111291012930460,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,9866420022015091111291012930460,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,9866420022015091111291012930460,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,9866420022015091111291012930460,1,None,Insulaiton to boilers poor and heat loss unnecessailry high,LOW
OTHER,9866420022015091111291012930460,2,None,"Consider replacing, T12/T8 lamps with T5 and/or led",LOW
OTHER,9866420022015091111291012930460,3,None,Weather compensation valves could not be located,MEDIUM
OTHER,9866420022015091111291012930460,4,None,Fan convectors in the library are located behind desks.  Improved outlets will improve performance and control,LOW
OTHER,9866420022015091111291012930460,5,None,Provide trvs to radiators,MEDIUM
OTHER,9866420022015091111291012930460,6,None,Review insulation in roof,HIGH
OTHER,9866420022015091111291012930460,7,None,Guidance in the use of natural ventilation openings would assist in comfort and economy,MEDIUM
OTHER,9866420022015091111291012930460,8,None,Flap control of perimeter convectors poor.  Provide improved control,LOW
SHORT,9866420022015091111291012930460,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,9866420022015091111291012930460,10,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,9866420022015091111291012930460,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,9866420022015091111291012930460,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,9866420022015091111291012930460,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,9866420022015091111291012930460,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,9866420022015091111291012930460,6,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,LOW
SHORT,9866420022015091111291012930460,7,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,MEDIUM
SHORT,9866420022015091111291012930460,8,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,9866420022015091111291012930460,9,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
OTHER,2402590062018092012021273920460,1,None,"Consider replacing CFL lamps and T8 fluorescent fittings with LED equivalents where not already fitted.  Also consider installing lamps with integrated daylight/sensor controls. Payback period will depend on hours of use, technology utilised and cost.",MEDIUM
OTHER,2402590062018092012021273920460,2,None,"Consider fitting PIR movement/daylight sensors to lighting in toilets, staff room, corridors, class rooms.",MEDIUM
OTHER,2402590062018092012021273920460,3,None,Consider replacing single glazed metal framed windows/doors with modern multi glazed equivalents to latest Building Regulations.,MEDIUM
OTHER,2402590062018092012021273920460,4,None,"The site roof could be a good location for Solar Photovoltaics (PV), with the introduction of Feed-in Tariffs (FiTs) the payback period for this technology has been reduced making it an attractive environmental solution for commercial buildings.",MEDIUM
OTHER,2402590062018092012021273920460,5,None,"Fit insulated jackets to exposed distribution valves within plant room, to reduce distribution heat loss in the HVAC system.",LOW
OTHER,2402590062018092012021273920460,6,None,"Consider installing hard-wired 7 day timers to Zip domestic hot water boiler in staff room, to reduce consumption out of operating hours.",LOW
SHORT,2402590062018092012021273920460,1,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,LOW
SHORT,2402590062018092012021273920460,2,CA11,"Consider how catering refrigerators can be relocated away or thermally isolated from sources of heat such as ovens, dishwashers etc.",LOW
LONG,87758210022015090110011657930470,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,87758210022015090110011657930470,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,87758210022015090110011657930470,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,87758210022015090110011657930470,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
LONG,87758210022015090110011657930470,5,BF3,Consider replacing or improving glazing.,HIGH
MEDIUM,87758210022015090110011657930470,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,87758210022015090110011657930470,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,87758210022015090110011657930470,3,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,HIGH
OTHER,87758210022015090110011657930470,1,None,Single glazing may be improved by removable secondary double glazing,HIGH
OTHER,87758210022015090110011657930470,10,None,Reviwe sealing of fireplaces to reduce infiltration losses in winter (may be openable in summer to improve ventilation,LOW
OTHER,87758210022015090110011657930470,2,None,A review of heat emitters and their control will reduce the use of electrical supplementary heating,MEDIUM
OTHER,87758210022015090110011657930470,3,None,The piping in the boiler house suggests inadequate heating zones are provided. Consider upgrading the controls to multi-zone control,HIGH
OTHER,87758210022015090110011657930470,4,None,"T8/T12 and compact flourescent lighting is present, savings may be made by converting to T5 and led lamps",MEDIUM
OTHER,87758210022015090110011657930470,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,87758210022015090110011657930470,6,None,"Boilers are not isolated when on standby, passing the full flow with standing losses.  Automatic flue dampers or isolating valves recommended",MEDIUM
OTHER,87758210022015090110011657930470,7,None,Space temperature sensors not found and possibly not provided.  An average of three sensors will provide less sensitive control,MEDIUM
OTHER,87758210022015090110011657930470,8,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,87758210022015090110011657930470,9,None,Management of pcs etc in Library will reduce use of power,LOW
SHORT,87758210022015090110011657930470,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,87758210022015090110011657930470,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,87758210022015090110011657930470,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,87758210022015090110011657930470,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,87758210022015090110011657930470,5,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,87758210022015090110011657930470,6,BF1,Consider introducing or improving loft insulation.,HIGH
SHORT,87758210022015090110011657930470,7,CON15,Consider installing weather compensator controls on heating and cooling systems.,MEDIUM
SHORT,87758210022015090110011657930470,8,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
LONG,35265220022010051208593681050462,1,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,MEDIUM
LONG,35265220022010051208593681050462,2,AE5,Consider heating the building using biomass boiler(s).,HIGH
LONG,35265220022010051208593681050462,3,AE6,Consider installing a ground source heat pump.,MEDIUM
LONG,35265220022010051208593681050462,4,AE3,Consider installing building mounted solar water heating.,HIGH
LONG,35265220022010051208593681050462,5,AE2,Consider installing wind turbine(s) within the curtilage of the site.,MEDIUM
MEDIUM,35265220022010051208593681050462,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
MEDIUM,35265220022010051208593681050462,2,X30,Consider replacing catering equipment that is old or in poor condition with more energy efficient alternatives.,LOW
SHORT,35265220022010051208593681050462,1,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,35265220022010051208593681050462,2,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,LOW
SHORT,35265220022010051208593681050462,3,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,35265220022010051208593681050462,4,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,MEDIUM
LONG,85839670062013111322432086920462,1,BF3,Consider replacing or improving glazing.,LOW
LONG,85839670062013111322432086920462,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
MEDIUM,85839670062013111322432086920462,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
SHORT,85839670062013111322432086920462,1,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,85839670062013111322432086920462,2,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
LONG,104234680962015120115291269290363,1,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",HIGH
MEDIUM,104234680962015120115291269290363,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,104234680962015120115291269290363,1,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,LOW
SHORT,104234680962015120115291269290363,2,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
SHORT,104234680962015120115291269290363,3,LE1,"Consider engaging experts to review current lift and escalator provisions and propose upgrades, replacements or alternative solutions that improve service effectiveness and energy efficiency.",MEDIUM
LONG,104848580022015103015201695930483,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,104848580022015103015201695930483,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,104848580022015103015201695930483,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,104848580022015103015201695930483,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,104848580022015103015201695930483,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,104848580022015103015201695930483,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,104848580022015103015201695930483,1,None,"Skylights give good daylight, but all lights operating.  Use of daylight control recommended",LOW
OTHER,104848580022015103015201695930483,2,None,"Consider replacing, T8 lamps with T5 and/or led",LOW
OTHER,104848580022015103015201695930483,3,None,Consider 2 port valves and variable flow pumps to reduce heating and cooling water flow rates at partial loads,MEDIUM
OTHER,104848580022015103015201695930483,4,None,Provide thermal insulation to the valve and pump bodies,LOW
OTHER,104848580022015103015201695930483,5,None,Consider remote condensers for cafe refrigeration,LOW
OTHER,104848580022015103015201695930483,6,None,Consider occupancy sensing lighting control in the corridors and daylight sensing in the Library,LOW
OTHER,104848580022015103015201695930483,7,None,Consider retro-fit free cooling coils on chillers,MEDIUM
OTHER,104848580022015103015201695930483,8,None,Hws took >2 minute to arrive.  Review thermal insulation and return design,LOW
SHORT,104848580022015103015201695930483,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,104848580022015103015201695930483,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,104848580022015103015201695930483,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,104848580022015103015201695930483,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,104848580022015103015201695930483,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,104848580022015103015201695930483,6,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,104848580022015103015201695930483,7,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,104848580022015103015201695930483,8,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
SHORT,104848580022015103015201695930483,9,V10,Consider with experts whether it would be worthwhile installing variable speed fans and volume control devices to the ventilation system.,MEDIUM
OTHER,20730610022015091109520437930490,7,None,Consider free cooling coils for chillers,MEDIUM
OTHER,20730610022015091109520437930490,8,None,Consider variable flow fume cupboards,HIGH
OTHER,20730610022015091109520437930490,5,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,20730610022015091109520437930490,6,None,Provide ventilated storage to avoid using fume cupboards as stores,MEDIUM
LONG,20730610022015091109520437930490,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,20730610022015091109520437930490,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,20730610022015091109520437930490,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,20730610022015091109520437930490,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,20730610022015091109520437930490,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,20730610022015091109520437930490,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,20730610022015091109520437930490,1,None,Consider replacing gas boilers with condensing boilers to allow lower temperatures and higher efficiencies,MEDIUM
OTHER,20730610022015091109520437930490,2,None,Consider replacing T8 and T12 lamps with T5 and/or led,MEDIUM
OTHER,20730610022015091109520437930490,3,None,Glazing gets warm and become low temperature radiator in summe.  Consider solar protection,LOW
OTHER,20730610022015091109520437930490,4,None,Consider automatic control of motorised boiler isolation valves to reduce standing losses when idling,MEDIUM
SHORT,20730610022015091109520437930490,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,20730610022015091109520437930490,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,20730610022015091109520437930490,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,20730610022015091109520437930490,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,20730610022015091109520437930490,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,20730610022015091109520437930490,6,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,20730610022015091109520437930490,7,CON15,Consider installing weather compensator controls on heating and cooling systems.,MEDIUM
SHORT,20730610022015091109520437930490,8,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,LOW
SHORT,20730610022015091109520437930490,9,X6,"Ensure natural ventilation flow is operating as designed, i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",MEDIUM
MEDIUM,6081058012008120518371703900489,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
LONG,6081058012008120518371703900489,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",MEDIUM
LONG,6081058012008120518371703900489,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,6081058012008120518371703900489,3,P2,Consider with experts the benefits of installing humidity control to pool hall ventilation.,LOW
LONG,6081058012008120518371703900489,4,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
MEDIUM,6081058012008120518371703900489,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,6081058012008120518371703900489,3,P3,Consider with experts the benefits of installing a heat recovery system to pool water and pool hall heating.,HIGH
OTHER,6081058012008120518371703900489,1,None,Ensure staff are trained in using HVAC controls,MEDIUM
OTHER,6081058012008120518371703900489,2,None,Ensure heating plant is switched off during summer season,MEDIUM
OTHER,6081058012008120518371703900489,3,None,Ensure meter readings are recorded for PV system,LOW
OTHER,6081058012008120518371703900489,4,None,Check fuel usage of building (with experts as required) as fuel usage is high,HIGH
SHORT,6081058012008120518371703900489,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
SHORT,6081058012008120518371703900489,10,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the serving and maintenance regime.,LOW
SHORT,6081058012008120518371703900489,11,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",LOW
SHORT,6081058012008120518371703900489,12,X29,Consider with chefs and kitchen managers how a training programme and monitoring systems with incentives could be implemented.,LOW
SHORT,6081058012008120518371703900489,13,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",LOW
SHORT,6081058012008120518371703900489,14,CA11,"Consider how catering refrigerators can be relocated away or thermally isolated from sources of heat such as ovens, dishwashers etc.",LOW
SHORT,6081058012008120518371703900489,15,CA24,Consider installing heat recovery to catering refrigeration condensers in order to aid with HWS generation or to heat room air.,LOW
SHORT,6081058012008120518371703900489,2,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,MEDIUM
SHORT,6081058012008120518371703900489,3,X4,Review staffing arrangements and set up formal systems for delegating authority for Building Energy Management System alterations and/or temporary overrides.,LOW
SHORT,6081058012008120518371703900489,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,6081058012008120518371703900489,5,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
SHORT,6081058012008120518371703900489,6,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,6081058012008120518371703900489,7,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
